"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"11",0.0124850100000009,-0.00720474499999997,-0.00626800499999973,-0.0134175549999997,-0.00751138999999996,0.000533450000000783,-0.00332379500000019,0.00685518999999985,0.106319595000001,-0.0052482499999994,0.489069185000001,-0.00985059499999936,-0.0158150699999998,-0.0112912199999992,-0.00833532999999924,-0.00303226000000074,-0.0122604100000012,-0.00483261499999911,0.0021926950000002,-0.00657219499999877,0.00138180500000032,-0.000239539999998671,-0.011078475,-0.00187189000000068,0.00417584500000027
"12",0.000256719999999811,-0.00200665000000094,-0.00768004999999998,-0.00440526500000028,-0.000763615000000163,-0.00819365999999976,0.00061491500000164,0.00935724000000106,-0.00467971499999926,0.00149231999999926,-0.00985059499999935,0.482874975,-0.00365580500000076,0.119158740000002,-0.00378585000000042,-0.00501602999999904,-0.00323456500000027,-0.000790529999999326,0.00375312999999889,-0.00312393999999899,-0.00439389999999935,-0.0070286849999976,-0.00697569499999918,-0.0134225099999983,-0.00377191000000012
"13",-0.0107735649999995,-0.0120699849999984,0.00478819000000019,-0.0116190600000006,-0.000470404999999616,0.164896674999999,-0.0101570449999995,0.00434386999999984,-0.00708759000000079,0.0080845250000008,-0.0158150699999998,-0.00365580500000075,0.494384259999997,-0.00501753999999921,-0.00883281999999935,-0.0190986349999996,-0.00463745500000108,-0.000274374999998913,-0.0103223149999995,-0.00549349999999917,-0.00180845000000043,0.00211810499999993,-0.0117305299999999,0.00851580499999976,0.0114140999999996
"14",-0.0041670749999993,-0.00516914499999961,-0.0102872599999995,-0.00575277999999989,0.0567633449999985,-0.00295524500000036,0.0057051849999969,0.0112808700000017,-0.00491567499999902,-0.000686034999998779,-0.0112912199999992,0.119158740000002,-0.00501753999999922,0.497722700000003,-0.0095040049999969,-0.00855673500000039,-0.00559104500000067,-0.00071640500000132,-0.000304845000003169,-0.000100440000001171,-0.00747408999999953,-0.0030079599999975,-0.00430512499999855,-0.0174670899999988,0.00153455000000117
"15",-0.00518963000000056,-0.00410549000000083,-0.00368729999999848,-0.00808227499999922,-0.00544418000000114,-0.00652047500000051,0.00453288499999864,-0.00227702500000008,-0.00437487999999946,-0.0014100599999991,-0.00833532999999926,-0.00378585000000041,-0.00883281999999936,-0.00950400499999689,0.497578030000004,0.0688331249999994,0.0923444349999995,-0.00475001500000123,-0.00940953000000203,-0.00507020499999937,0.0069512950000005,-0.00672746499999871,-0.0015106899999991,-0.00379538499999904,-0.00241375999999756
"16",-0.00472088000000054,0.00628334500000076,-0.00152167500000035,0.0041607950000002,0.0819522600000004,0.00276590000000031,-0.00481845000000001,-0.00995155999999981,-0.00420463500000014,-0.0130366750000009,-0.00303226000000074,-0.00501602999999905,-0.0190986349999996,-0.00855673500000039,0.0688331249999995,0.501878289999999,0.0826755099999998,-0.00514679499999993,0.142208795,-0.00305933000000153,-0.0108618250000006,-0.00906495999999974,0.00251247499999928,-0.000626865000000643,-0.00194838500000002
"17",-0.00980934500000137,-0.00565852000000026,-0.000360675000001388,-0.00298398499999928,-0.00691119000000068,-0.00288041000000008,-0.00217619999999993,-0.0044092350000003,-0.00374120999999805,-0.00953821499999983,-0.0122604100000012,-0.00323456500000028,-0.00463745500000108,-0.00559104500000066,0.0923444349999994,0.0826755099999998,0.489681585000001,-0.00496890499999996,-0.00508366999999979,-0.00736003999999968,-0.0095873299999994,-0.00527250999999974,-0.00114613999999973,-0.00873070500000024,-0.00705777000000071
"18",0.00543886999999924,-0.0100697100000006,0.00782247999999886,-0.0097612750000003,-0.00970823500000027,0.00184983000000109,-0.00479163499999911,-0.00675920999999917,-0.0096727549999994,0.00966517499999975,-0.00483261499999911,-0.000790529999999336,-0.000274374999998917,-0.000716405000001319,-0.00475001500000124,-0.00514679499999992,-0.00496890499999996,0.494619185000001,-0.0143862000000003,0.182954210000001,-0.00295949999999954,0.0114664799999994,0.081156425,0.00563235500000061,0.00430175999999973
"19",-0.00149402499999976,0.00835991000000011,0.0159773049999999,-0.00400926500000024,0.119751735000002,-0.00588170500000082,-0.0105516799999983,-0.011949185,-0.00429069000000053,-0.00442595999999989,0.00219269500000019,0.0037531299999989,-0.0103223149999995,-0.000304845000003174,-0.00940953000000203,0.142208795,-0.00508366999999979,-0.0143862000000003,0.493516940000002,0.00293142499999963,-0.00779143999999973,8.336999999965e-05,-0.000450415000000509,0.0088718199999999,0.0168578999999993
"20",-0.00157406499999858,-0.000106175000000845,0.104762195,0.000940360000000949,-0.00717161000000003,0.00287890999999918,-0.00281461000000087,-0.00598772999999885,-0.00431470999999922,-0.000615890000000564,-0.00657219499999878,-0.00312393999999901,-0.00549349999999916,-0.000100440000001166,-0.00507020499999936,-0.00305933000000154,-0.00736003999999968,0.182954210000001,0.00293142499999963,0.501104150000002,0.00096951000000018,0.110149565,0.128525115000001,0.0958280750000018,-0.00877648999999898
"21",0.00213560999999962,-0.00232072000000032,-0.00857852499999968,-0.00847798499999949,-0.0101582350000009,-0.00432461000000062,-0.0058859500000008,0.151213534999999,0.00205447000000122,-0.00763176500000048,0.00138180500000033,-0.00439389999999935,-0.00180845000000041,-0.00747408999999952,0.0069512950000005,-0.0108618250000006,-0.0095873299999994,-0.00295949999999954,-0.00779143999999973,0.00096951000000018,0.498326825,-0.00327452500000059,-0.00437690500000061,0.000637219999999038,-0.0159904199999995
"22",-0.00243933000000128,-0.00226212500000161,0.14797866,-0.0104293199999994,-0.00746312000000217,-0.00548903499999981,-0.00896688499999992,0.00394644000000043,-0.000264854999999293,-0.0155247199999997,-0.000239539999998665,-0.00702868499999761,0.00211810499999993,-0.0030079599999975,-0.00672746499999871,-0.00906495999999974,-0.00527250999999974,0.0114664799999994,8.3369999999649e-05,0.110149565,-0.0032745250000006,0.491993600000003,-4.66600000007157e-05,0.133565735000001,-0.00590541999999885
"23",-0.00842963500000063,0.00506969000000022,-0.00134304999999995,0.0673535899999992,-0.00396923500000075,0.00754200500000079,-0.00237214000000113,-0.00785665500000065,0.00218707000000085,0.00452416999999982,-0.011078475,-0.00697569499999918,-0.0117305299999999,-0.00430512499999855,-0.0015106899999991,0.00251247499999928,-0.00114613999999973,0.081156425,-0.000450415000000512,0.128525115000001,-0.00437690500000061,-4.6660000000712e-05,0.49294411,-0.00455153499999905,-0.0132112299999997
"24",0.00919045000000141,0.00921000500000088,0.186810795000001,0.00305804499999976,0.00584478499999976,-0.00142393999999982,-0.00418272000000086,0.00216637499999907,-0.000228709999998697,-0.00790556999999896,-0.00187189000000069,-0.0134225099999983,0.00851580499999975,-0.0174670899999988,-0.00379538499999903,-0.000626865000000638,-0.00873070500000024,0.00563235500000061,0.0088718199999999,0.0958280750000017,0.000637219999999039,0.133565735000001,-0.00455153499999905,0.490438260000004,0.0076959900000009
