"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"11",-0.00468105000000076,0.172949319999999,0.00230910499999974,-0.00720695999999988,0.0014556199999988,0.00604828500000692,0.0100768800000032,-0.00806954499999944,-0.00475639499999998,0.00142023000000143,0.491212635000002,0.00103799500000129,-0.00759185999999967,0.0026279750000003,-0.00694978999999787,-0.00614533999999831,4.32900000060192e-05,-0.000305349999997126,-0.00492082999999992,0.00169474499999704,-0.00434430000000169,0.000103840000001016,0.00330672999999994,0.0953305549999996,0.00908490000000202,0.00191527499999569
"12",0.107856475000001,-0.00129789999999787,-0.000380464999999121,-0.00892318500000121,-0.00876393000000056,0.00121914499999884,-0.00337294999999956,-0.00824374000000123,0.01081714,-0.00990589000000121,0.00103799500000129,0.490621125000002,-0.003502875,-0.000611389999999739,0.0109598100000007,-0.00252290000000085,0.0797437049999987,-0.00585583000000096,0.00373378500000004,0.00161476499999961,-0.0144621950000007,0.0213975750000006,0.00972853999999986,-0.00706263499999924,0.128559629999999,-0.00243244000000052
"13",-0.00982303500000018,0.000134975000000989,0.119542909999999,0.00514999499999954,-0.0106111549999983,0.000603109999997215,-0.00940857500000062,-0.00388526500000036,0.00485069500000026,-0.0107585150000007,-0.00759185999999966,-0.003502875,0.492358195000002,-0.0131485000000001,-0.00944781000000021,0.00319027499999913,0.00330198499999805,-0.0172736949999998,0.00830133500000017,0.000452485000000561,0.00732496500000023,-0.00373848999999958,-0.0116279800000003,-0.0124004049999992,-0.00543277000000008,0.00271649499999986
"14",-0.00371161499999972,-0.00300792499999943,-0.00239234999999982,-0.00866781000000126,-0.00442764499999809,-0.0152837350000033,-0.00726704000000184,0.000534315000000071,0.000224014999999878,0.00639920999999955,0.0026279750000003,-0.000611389999999746,-0.0131485000000001,0.491889169999999,-0.00287398000000098,0.00351102499999962,-0.0135563650000021,-0.012338835000002,-0.000437649999999863,0.00035608000000152,-0.00542139999999978,0.00176354000000038,-0.00251391500000072,-0.0116302700000002,-0.0118627449999999,-0.00736213999999743
"15",-0.00149139000000037,-0.00716508499999917,-0.0114914199999993,-0.00995778000000243,-0.000659494999999348,0.109602260000001,0.00824374499999949,-0.00387835500000137,0.16609429,0.0123807749999995,-0.00694978999999788,0.0109598100000007,-0.0094478100000002,-0.00287398000000098,0.514019844999998,-0.00240790000000157,-0.000727754999998731,0.0145606849999987,0.209654564999999,-0.00495421000000095,-0.00632385500000017,0.00215187500000154,-0.0145511800000002,-0.0080792349999982,-0.00919204499999935,-0.00971297500000134
"16",0.000748425000001515,-0.00240477499999872,-0.0128108999999996,-0.00897975000000282,-0.00386591999999812,-0.00598154500000791,0.0654132949999976,-0.00863509500000254,-0.000843585000000378,0.0953544149999968,-0.00614533999999831,-0.00252290000000084,0.00319027499999912,0.00351102499999963,-0.00240790000000157,0.488406139999995,-0.0140459550000076,0.132159129999997,0.0136404899999992,0.00409668500000458,-0.00576444000000059,-0.0185811149999996,0.000983869999999768,-0.0116898399999973,-0.00747970500000207,-0.00277753999999842
"17",-0.00231707999999989,-0.0101556249999959,-0.0025540750000031,-0.00161242500000689,0.000668075000004012,0.184661624999993,-0.00570068000000195,-0.00532479500000603,-0.00418439499999991,-0.0110933000000038,4.32900000060221e-05,0.0797437049999987,0.00330198499999804,-0.0135563650000021,-0.000727754999998738,-0.0140459550000076,0.495469639999994,6.13599999973221e-05,0.000977630000000338,-0.00562204499999762,0.00269409499999948,0.0378214900000034,0.00741121499999917,-0.008585089999993,0.0698161999999979,-0.00471299500000451
"18",0.000225424999999998,0.0052911500000017,-0.00893364500000098,-0.00225709500000331,-0.0101858799999975,0.000124974999995286,0.243741464999999,-0.0101882100000043,-0.000838355000000251,0.166917324999998,-0.000305349999997136,-0.00585583000000097,-0.0172736949999998,-0.012338835000002,0.0145606849999987,0.132159129999997,6.13599999973121e-05,0.495756204999999,0.0135486049999997,-0.0176559849999977,-0.00513816499999997,-0.00911979499999904,-3.61150000001629e-05,-0.00245478999999664,-0.00988454500000123,-0.00502477500000265
"19",0.00266289500000044,-0.0025213350000002,-0.00624677999999979,-0.00322236500000086,0.00294893500000035,0.0292322350000002,0.0115030399999998,-0.00634506000000078,0.23458695,0.00350802499999866,-0.00492082999999993,0.00373378500000004,0.00830133500000017,-0.000437649999999864,0.209654564999999,0.0136404899999992,0.000977630000000349,0.0135486049999997,0.498398215,-0.00181466000000057,0.000658034999999095,0.0124929400000005,0.00312302499999988,-0.0102421849999992,0.00218328500000041,-0.00725270000000091
"20",-0.00286159000000028,-0.00661863500000172,-0.0128874999999994,-0.00925734999999721,0.00302694999999832,-0.00451722499999755,-0.015661344999998,-0.0137539899999999,0.00432395499999999,-0.00694415499999706,0.00169474499999703,0.00161476499999962,0.000452485000000559,0.000356080000001518,-0.00495421000000093,0.00409668500000457,-0.00562204499999762,-0.0176559849999977,-0.00181466000000057,0.497436529999999,-0.00535563000000049,-0.00382591500000135,-0.01291072,-0.00831401500000256,-0.000311824999999424,-0.00730062499999992
