status_number,rep,case,path,genetic_response
30,26,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_26/summary.csv,1.16337095716914
30,27,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_27/summary.csv,1.42431742912031
30,28,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_28/summary.csv,1.38963145208704
30,29,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_29/summary.csv,1.29970349681667
30,30,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_30/rep_30/summary.csv,1.30018124517917
40,1,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_1/summary.csv,1.23898472224065
40,2,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_2/summary.csv,1.12491144496159
40,3,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_3/summary.csv,1.4655391043039
40,4,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_4/summary.csv,1.17570215613135
40,5,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_5/summary.csv,1.23479065250958
40,6,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_6/summary.csv,1.19240190761719
40,7,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_7/summary.csv,1.18502663172678
40,8,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_8/summary.csv,1.32651801566911
40,9,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_9/summary.csv,1.31885004476092
40,10,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_10/summary.csv,1.50215833917575
40,11,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_11/summary.csv,1.43383744748998
40,12,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_12/summary.csv,1.44681915908388
40,13,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_13/summary.csv,1.18796546673583
