ID,solution,p,r
505211,0.623060267257125,0,0
505212,0.122477270753303,0,0
505213,0.268898889103952,0,0
505214,0.883133666504009,0,0
505215,0.823830801863662,0,0
505216,1.3439766022659,0,0
505217,1.39725709335907,0.059368515,1
505218,0.114926449191592,0,0
505219,-0.0523544724812093,0,0
505220,-0.872238844922698,0,0
505221,0.659206051389111,0,0
505222,0.577650569578343,0,0
505223,0.795455282517008,0,0
505224,1.19719372050361,0,0
505225,0.909974697665754,0,0
505226,0.141918444425398,0,0
505227,1.13438442656396,0,0
505228,0.51793070555267,0,0
505229,0.747805913528071,0,0
505230,1.1881563699922,0,0
505231,-0.0331091412963496,0,0
505232,0.950384011882392,0,0
505233,0.504645439237206,0,0
505234,0.588258761856252,0,0
505235,1.06905921222381,0,0
505236,0.420917447515891,0,0
505237,0.250397779628123,0,0
505238,0.830936231129462,0,0
505239,0.449383361561834,0,0
505240,0.0831689198935653,0,0
505241,-0.0178859439802266,0,0
505242,1.00001097324762,0,0
505243,0.661472508042802,0,0
505244,0.204062356224532,0,0
505245,-0.434610567397399,0,0
505246,0.746327383699592,0,0
505247,-0.575359063209634,0,0
505248,0.429528916378849,0,0
505249,0.584307444060841,0,0
505250,0.980430125911071,0,0
505251,0.515785266360699,0,0
505252,1.07658987244308,0,0
505253,0.147247401332539,0,0
505254,0.231202577554814,0,0
505255,-0.100083912428292,0,0
505256,0.511515620625029,0,0
505257,0.485889303147507,0,0
505258,0.648742156390432,0,0
505259,0.973894469458434,0,0
505260,-0.140470842140364,0,0
505261,0.229110790902806,0,0
505262,0.200476159633565,0,0
505263,1.06679834165756,0,0
505264,0.329528851356003,0,0
505265,0.287590241628195,0,0
505266,0.833600500769437,0,0
505267,-0.887572475784898,0,0
505268,0.366755880868467,0,0
505269,0.560626127266239,0,0
505270,0.366397431026309,0,0
505271,0.244538656206688,0,0
505272,0.716673935612402,0,0
505273,0.28873874946017,0,0
505274,1.26043175091222,0,0
505275,0.0901667682737606,0,0
505276,0.935098670837626,0,0
505277,0.784798898227689,0,0
505278,1.27694539335275,0,0
505279,0.936403671467086,0,0
505280,0.418270919787672,0,0
505281,-0.0669534988964179,0,0
505282,0.997654647137176,0,0
505283,0.869009238029602,0,0
505284,-0.0333570063533192,0,0
505285,0.224879984366012,0,0
505286,0.209570761277173,0,0
505287,0.18022227576444,0,0
505288,0.764295307000551,0,0
505289,-0.133342546203049,0,0
505290,1.00671273759045,0,0
505291,0.679887251007587,0,0
505292,0.551410006164802,0,0
505293,0.258442609358598,0,0
505294,0.16308054148191,0,0
505295,-0.381860990219639,0,0
505296,0.586156632830516,0,0
505297,0.0594233434347051,0,0
505298,0.713757964129602,0,0
505299,0.463522620057849,0,0
505300,-0.595321040877489,0,0
505301,0.263633795452707,0,0
505302,-0.158016802758117,0,0
505303,0.395073299265991,0,0
505304,0.534831914718943,0,0
505305,0.992587142585929,0,0
505306,-0.218776359787278,0,0
505307,0.0222252750784183,0,0
505308,-0.192066533173412,0,0
505309,0.895266302577923,0,0
505310,-0.172310108282204,0,0
505311,-0.0205870149890923,0,0
505312,0.939329885028244,0,0
505313,1.08695413799933,0,0
505314,0.998109112966397,0,0
505315,-0.31981167020736,0,0
505316,0.226074449404316,0,0
505317,1.22370219449638,0,0
505318,0.963448187553164,0,0
505319,0.768347396006971,0,0
505320,0.859608755853836,0,0
505321,0.00426852985907052,0,0
505322,0.923892089286567,0,0
505323,0.846965827518599,0,0
505324,1.2271024102167,0,0
505325,0.682850506632077,0,0
505326,0.224906659411734,0,0
505327,0.601759973588928,0,0
505328,0.808430388679457,0,0
505329,1.32073422438836,0,0
505330,0.0812714545581825,0,0
505331,0.60896783441668,0,0
505332,0.484608382533228,0,0
505333,0.858661360281268,0,0
505334,0.519508866350899,0,0
505335,-0.617911115944814,0,0
505336,1.22430729530912,0,0
505337,0.12190597017091,0,0
505338,0.287407113003183,0,0
505339,0.33374197806285,0,0
505340,-0.622548101339133,0,0
505341,0.732540662112703,0,0
505342,0.725417814081462,0,0
505343,0.473691271847676,0,0
505344,-0.169685801512064,0,0
505345,0.406528358145096,0,0
505346,0.507465761043501,0,0
505347,-0.0140188130415389,0,0
505348,0.506204822473466,0,0
505349,0.276975716810392,0,0
505350,1.06985561203624,0,0
505351,-0.433661006852821,0,0
505352,0.508084767903163,0,0
505353,0.274050170541562,0,0
505354,0.620993434203597,0,0
505355,0.94923898360687,0,0
505356,0.471165724817858,0,0
505357,1.09689078035295,0,0
505358,0.344127894636175,0,0
505359,-0.116491565265286,0,0
505360,1.46302954730694,0.088627673,1
505361,1.29708914650923,0,0
505362,0.307106951407772,0,0
505363,0.363272047293695,0,0
505364,1.09740608906216,0,0
505365,-0.0988801442936986,0,0
505366,1.42132812212825,0.067688915,1
505367,0.18290881807514,0,0
505368,1.26030196211258,0,0
505369,0.637684882373306,0,0
505370,0.630901409966212,0,0
505371,0.629024525599505,0,0
505372,0.293458359729088,0,0
505373,0.779757900682454,0,0
505374,0.740249824456698,0,0
505375,0.50970806054873,0,0
505376,0.99952617459292,0,0
505377,1.43344763263623,0.064946201,1
505378,1.0945991380639,0,0
505379,0.598868119158029,0,0
505380,0.808784086192192,0,0
505381,0.460545658101002,0,0
505382,0.89517793450838,0,0
505383,-0.024741175518529,0,0
505384,0.584400008198518,0,0
505385,0.361412472430745,0,0
505386,1.34602799126713,0.015924362,1
505387,0.530778740626134,0,0
505388,1.32057638852519,0.013639515,1
505389,0.985506457520105,0,0
505390,0.489464331410613,0,0
505391,-0.352193197673411,0,0
505392,1.67518819044933,0.149387552,1
505393,0.631716179705547,0,0
505394,-0.271523109709341,0,0
505395,0.412032892922003,0,0
505396,0.129042166691613,0,0
505397,-0.448809029595598,0,0
505398,-0.360585590230232,0,0
505399,0.459334626400971,0,0
505400,0.424735492121001,0,0
505401,0.385643486169513,0,0
505402,0.473262993437151,0,0
505403,0.618560920479579,0,0
505404,0.961030489120281,0,0
505405,0.826127231512625,0,0
505406,0.723932554890985,0,0
505407,0.233981799477905,0,0
505408,0.1556128516685,0,0
505409,0.623679602220231,0,0
505410,1.02121301572611,0,0
505411,0.642037798243363,0,0
505412,0.936567097660192,0,0
505413,0.496951993080692,0,0
505414,0.786301758948862,0,0
505415,0.411587660582171,0,0
505416,-0.413899254525396,0,0
505417,0.325269649793097,0,0
505418,0.453661969075751,0,0
505419,-0.0673668420708785,0,0
505420,0.0463054783817505,0,0
505421,0.634001257325812,0,0
505422,0.924783044140468,0,0
505423,0.313953043451243,0,0
505424,0.274601102081337,0,0
505425,0.51680853916809,0,0
505426,0.322637835723788,0,0
505427,-0.230024679849179,0,0
505428,0.215511712538023,0,0
505429,0.456819323265322,0,0
505430,0.206959203175086,0,0
505431,0.42419263399135,0,0
505432,0.120668622655437,0,0
505433,-0.0698138080434364,0,0
505434,0.675500564476438,0,0
505435,0.731822440591119,0,0
505436,0.686798562067387,0,0
505437,1.16829090573943,0,0
505438,0.106396138195631,0,0
505439,-0.199371585955819,0,0
505440,1.17015390068798,0,0
505441,0.771819260248107,0,0
505442,1.23316481447826,0,0
505443,0.540253041387296,0,0
505444,0.163124758997016,0,0
505445,1.13667482338232,0,0
505446,0.819288239537225,0,0
505447,0.544028786082537,0,0
505448,0.585372997257529,0,0
505449,0.508964544012724,0,0
505450,0.478362578540187,0,0
505451,0.371725475047737,0,0
505452,0.512715263192106,0,0
505453,0.931610384036475,0,0
505454,0.537971014999728,0,0
505455,0.693920987083741,0,0
505456,0.294643341204115,0,0
505457,0.0301614746241079,0,0
505458,0.4052559741287,0,0
505459,0.268420555209042,0,0
505460,0.871764891279552,0,0
505461,0.475335252856608,0,0
505462,0.581078584320528,0,0
505463,0.278328055640043,0,0
505464,0.658847283105266,0,0
505465,-0.0154491612674947,0,0
505466,0.835441131646304,0,0
505467,-0.346223213313659,0,0
505468,0.533223336570115,0,0
505469,0.268323832492356,0,0
505470,0.165346415629262,0,0
505471,1.21240405859939,0,0
505472,0.637912251870888,0,0
505473,0.735619727314458,0,0
505474,0.0124703006850202,0,0
505475,0.237412693600416,0,0
505476,0.261869542223011,0,0
505477,0.785234944402437,0,0
505478,-0.0603367721235026,0,0
505479,0.532813258348203,0,0
505480,0.21293730364008,0,0
505481,0.44873132211762,0,0
505482,0.0707256678419345,0,0
505483,0.38256568705904,0,0
505484,0.0880748916295841,0,0
505485,0.750220426380511,0,0
505486,-0.31370088598499,0,0
505487,1.41105285281507,0,0
505488,0.708123343972284,0,0
505489,0.387356531876031,0,0
505490,1.30747613322251,0,0
505491,0.70708216291426,0,0
505492,-0.705297467189679,0,0
505493,0.711987823818618,0,0
505494,0.0446932733912334,0,0
505495,0.630326373493796,0,0
505496,0.882682103759229,0,0
505497,0.126875559774906,0,0
505498,0.331875405592519,0,0
505499,0.820678918640099,0,0
505500,0.494062173385491,0,0
