"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"11",0.000432665000001191,0.0017828649999992,0.00285953499999903,-0.000975280000000617,-0.00777320000000043,0.000599310000000516,-0.0015413950000005,0.00950992999999982,0.00663534000000023,0.13383244,0.494305124999999,-0.00681199999999967,-0.00601881000000158,-0.00109069500000057,-0.00812088500000071,0.0020047600000002,-0.00226595000000119,-0.0090072349999994,0.00563712999999882,0.00565204499999991,0.00779112500000125,0.00411250499999986,0.00580647999999882,0.00509957499999999,-0.00295296499999984,-0.00990527499999983,0.00220681000000099
"12",-0.00291756000000041,-0.0036560949999999,-0.0105750050000006,-0.00929069000000053,-0.00568769000000107,-0.00841409999999972,-0.0114439949999991,-0.00569012499999938,-0.0015609099999991,-0.00543850000000157,-0.00681199999999968,0.496328775000001,-0.0103813300000006,-0.00823987000000018,-0.0120663000000005,0.00171518999999995,0.00333156000000107,-0.00328094999999981,-0.000863865000000332,-0.01282855,-0.00803821500000027,-0.00201340000000115,-7.90249999988748e-05,-0.00656918499999938,-0.010191015,0.00504642999999967,-0.00589292499999961
"13",-7.68699999988308e-05,-0.00155767000000068,-0.000498420000000424,-0.00430215,0.00477692000000034,-0.00365372500000049,0.012100935,-0.00110393500000097,-0.00824703000000016,-0.00972861499999889,-0.00601881000000159,-0.0103813300000006,0.508999424999999,-0.00401480999999885,-0.00783238000000046,0.00442667999999968,-0.00721515999999949,-0.00505293499999985,-0.00229603499999998,-0.0112432699999991,-0.00849858000000076,-0.000351384999999018,-0.00132084999999994,-0.0076483200000005,0.000827550000000483,0.000540975000000338,-0.00112738499999942
"14",-0.00489938999999861,-0.00232930499999927,-0.00595281500000136,0.00574484999999949,-0.00660911500000054,0.111129865,-0.0029346700000013,0.0668320400000007,0.00211279999999947,0.00335705499999976,-0.00109069500000058,-0.00823987000000019,-0.00401480999999885,0.497325960000001,0.000266985000001263,-0.0048048949999998,0.000635825000000916,0.0684483349999995,-0.00585742500000192,-0.00141265999999948,0.0105139399999994,0.00069444499999841,0.00411456000000031,0.00368239999999983,-0.00516847000000045,-0.000667255000000572,-1.73199999999606e-05
"15",0.00227615500000055,0.00350347999999815,0.090781905,-0.00985320000000016,0.00412951999999924,0.119601325000001,-0.00326835499999968,-0.01199574,-0.00866672999999872,-0.013813225,-0.0081208850000007,-0.0120663000000005,-0.00783238000000046,0.000266985000001266,0.485851934999999,-0.00432912500000047,-0.00448354500000084,0.0055134799999997,0.000450054999999002,-0.0100826600000011,-0.00548633499999942,-0.00548179499999941,0.00259060000000048,-0.00660476000000072,-0.00855276499999918,0.0017646399999983,0.0682523350000003
"16",-0.00282702999999956,0.000815614999999057,-0.0112499299999996,-0.0116962100000003,0.140867090000001,-0.00748055500000001,0.00220698000000156,-0.00497398000000139,0.0166035800000009,-0.0116774850000011,0.00200476000000019,0.00171518999999995,0.00442667999999968,-0.00480489499999979,-0.00432912500000048,0.497213365000001,0.00138776499999969,-0.00223122000000075,0.181251975000003,-0.00546867000000142,-0.00857598499999897,0.123943260000001,0.00544247499999924,0.00168232500000055,-0.0144344050000005,-0.00581613000000163,-0.0108215499999994
"17",-0.00974715999999952,-0.00313093000000042,-0.00137304000000002,-0.00450783000000068,-0.00273324000000105,-0.00475906499999999,-0.00412779000000112,-0.0145837749999995,-0.00116990500000014,-0.00896537999999918,-0.00226595000000118,0.00333156000000107,-0.00721515999999949,0.000635825000000917,-0.00448354500000085,0.00138776499999969,0.498830570000001,0.0100516249999997,-0.00680720000000021,-0.0115372499999984,-0.00669629000000123,-0.00697642499999956,-0.0112606599999998,0.115821000000001,-0.00948080000000049,-0.00716469000000021,-0.0028341500000001
"18",-0.00817883500000057,-0.00781407500000006,-0.00103505499999895,-0.00782685000000104,-0.0111016050000007,0.00602362499999958,-0.00421722999999941,-0.00149614500000138,-0.00682500499999939,-0.00264549999999977,-0.0090072349999994,-0.00328094999999981,-0.00505293499999985,0.0684483349999995,0.0055134799999997,-0.00223122000000074,0.0100516249999997,0.496056634999999,-0.00422025000000014,-0.000833535000000384,0.00489565999999995,-0.00689817000000005,-0.0132434100000002,0.00355187999999977,-0.00575727999999982,-0.00997860000000126,-0.000904515000000166
"19",-0.0102584299999978,0.00156018499999893,-0.00631241500000096,-0.00427825500000067,0.120869870000001,-0.00603940999999951,-0.00578798499999979,-0.00458237500000085,-0.00471407999999999,-0.00509869500000047,0.00563712999999882,-0.000863865000000328,-0.00229603499999998,-0.00585742500000193,0.000450054999999008,0.181251975000003,-0.0068072000000002,-0.00422025000000014,0.498670015000003,-0.00675706500000045,-0.00206312499999861,0.169127500000002,-0.00289803500000049,-0.00216197999999957,-0.00749364500000142,-0.00538130499999997,0.00310297000000013
"20",0.00406093000000042,-0.00539766999999983,-0.0114570499999996,0.0894527499999999,-0.00238643000000162,0.000608329999998912,-0.000908445000000847,0.0019480299999999,-0.000574004999999741,0.162961520000001,0.00565204499999991,-0.01282855,-0.0112432699999991,-0.00141265999999947,-0.0100826600000011,-0.00546867000000141,-0.0115372499999984,-0.000833535000000385,-0.00675706500000045,0.498127140000001,-0.000290950000000902,0.0021920249999987,-0.00452320499999845,0.0779234600000009,-0.00963093500000027,-0.0154955149999993,0.000419274999999069
"21",0.00280586499999797,0.000198065000000004,-0.0102755749999995,-0.00522354499999905,-0.00511157499999894,-0.00187367999999963,0.00504171000000003,-0.00210032500000066,-0.00923992500000088,0.00845539500000036,0.00779112500000125,-0.00803821500000025,-0.00849858000000076,0.0105139399999994,-0.00548633499999943,-0.00857598499999896,-0.00669629000000123,0.00489565999999995,-0.00206312499999861,-0.00029095000000091,0.496134995,-0.00885918999999961,0.00451942499999981,-0.00707373499999959,-0.00604897500000031,-0.00246679499999996,0.168492655
"22",-0.00856325999999954,0.0100231799999996,-0.00365281500000056,-0.00466294000000067,0.151278585000001,-0.00674370999999995,-0.00317812499999931,-0.00251664000000137,-0.00339983999999941,-0.00244402000000199,0.00411250499999985,-0.00201340000000114,-0.000351384999999027,0.000694444999998416,-0.00548179499999941,0.123943260000001,-0.00697642499999956,-0.00689817000000005,0.169127500000002,0.0021920249999987,-0.0088591899999996,0.494346325000001,-0.00473542000000084,-0.00604087999999985,-0.00955929500000145,8.96850000004791e-05,-0.0122805799999999
"23",0.00471915500000133,-0.00129791000000128,-0.001746844999998,-0.00403394499999986,-0.00713724000000072,0.00475836499999963,0.13271553,0.00421022500000097,0.0881685749999998,-0.00672803999999981,0.00580647999999882,-7.90249999988732e-05,-0.00132084999999994,0.00411456000000031,0.00259060000000047,0.00544247499999924,-0.0112606599999998,-0.0132434100000002,-0.00289803500000049,-0.00452320499999845,0.0045194249999998,-0.00473542000000085,0.503632099999999,-0.00955853500000053,-0.00577063499999924,-0.00323708000000027,-0.00817918499999997
"24",-0.000416894999999385,-0.0118219750000007,-0.00733290499999982,-0.00321781999999944,-0.0137897900000002,-0.00654456500000049,-0.0112395449999988,-0.00743562500000029,-0.00868193999999943,-0.00480982999999981,0.00509957499999999,-0.00656918499999938,-0.00764832000000049,0.00368239999999982,-0.00660476000000073,0.00168232500000055,0.115821000000001,0.00355187999999977,-0.00216197999999957,0.0779234600000009,-0.00707373499999959,-0.00604087999999985,-0.00955853500000053,0.490745560000002,-0.00219043499999935,-0.00654156999999958,-0.00481060000000068
"25",-0.00684555500000298,-0.0044650250000006,-0.0135936499999984,-0.005499275,-0.00419878500000102,-0.000970845000000114,-0.00209913500000044,-0.00373226499999952,-0.00625411499999909,-0.00429066000000091,-0.00295296499999984,-0.010191015,0.000827550000000481,-0.00516847000000045,-0.00855276499999917,-0.0144344050000005,-0.00948080000000048,-0.00575727999999982,-0.00749364500000142,-0.00963093500000027,-0.00604897500000032,-0.00955929500000145,-0.00577063499999924,-0.00219043499999936,0.494140224999999,-0.00674838999999986,-0.0107700750000004
"26",0.00147346000000041,-0.00617359500000095,0.00283465500000054,0.0100146400000005,-0.0127640000000007,-0.00908514499999972,-0.008907579999999,0.00156741499999918,-0.00162686499999976,-0.00960701499999876,-0.00990527499999983,0.00504642999999968,0.000540975000000341,-0.00066725500000058,0.0017646399999983,-0.00581613000000163,-0.00716469000000021,-0.00997860000000126,-0.00538130499999997,-0.0154955149999994,-0.00246679499999996,8.96850000004683e-05,-0.00323708000000027,-0.00654156999999959,-0.00674838999999987,0.492121619999999,-0.00364482000000038
"27",-0.000401230000000328,0.00833808999999996,-0.0066146899999998,-0.00660912500000002,-0.00541657500000016,0.0917400450000004,-0.00359262499999984,-0.00291590500000004,-0.0106812199999995,0.00794605000000008,0.00220681000000099,-0.00589292499999961,-0.00112738499999942,-1.73199999999611e-05,0.0682523350000003,-0.0108215499999994,-0.0028341500000001,-0.000904515000000157,0.00310297000000013,0.000419274999999057,0.168492655,-0.0122805799999999,-0.00817918499999997,-0.00481060000000067,-0.0107700750000004,-0.00364482000000039,0.508281045000001
