"","solution","std.error","z.ratio"
"vm(ID, ginv)_Np1_504827",0.860865754497296,0.800415559850981,1.07552351263332
"vm(ID, ginv)_Np1_504560",0.41235296078808,0.810935777232415,0.508490280445352
"vm(ID, ginv)_Np1_500051",0.537350734853563,0.770754975700986,0.697174526009194
"vm(ID, ginv)_Np1_503046",-0.70031031834601,0.704982905427723,-0.993372056193506
"vm(ID, ginv)_Np1_502095",0.379151838907785,0.768014527888371,0.493677951575017
"vm(ID, ginv)_Np1_504533",0.954752110344195,0.807239787171697,1.18273668557559
"vm(ID, ginv)_Np1_503331",0.864401526985734,0.791698355817568,1.09183190874899
"vm(ID, ginv)_Np1_502147",0.670425691832783,0.791675636798955,0.846843910144272
"vm(ID, ginv)_Np1_500178",1.05017967894733,0.735799059125662,1.42726423188858
"vm(ID, ginv)_Np1_501929",0.563569916185835,0.73731233104179,0.764357101405771
"vm(ID, ginv)_Np1_503535",0.0166810794741559,0.758243319932483,0.0219996392129656
"vm(ID, ginv)_Np1_502407",1.36061628318682,0.734199328783255,1.85319739455727
"vm(ID, ginv)_Np1_502926",0.832688062131479,0.816555031253784,1.01975743245734
"vm(ID, ginv)_Np1_500315",0.594222780940316,0.809341512429383,0.734205241933841
"vm(ID, ginv)_Np1_503246",0.628621887290298,0.766213937599222,0.820426066980664
"vm(ID, ginv)_Np1_501873",0.00425742546532959,0.726181265592417,0.00586275860732429
"vm(ID, ginv)_Np1_500259",0.456891866473741,0.728659213972645,0.627030932584754
"vm(ID, ginv)_Np1_501049",1.33229693901818,0.757486085816518,1.75884014764714
"vm(ID, ginv)_Np1_501804",0.663772119539494,0.73461903103089,0.903559656776143
"vm(ID, ginv)_Np1_500570",0.814524478015072,0.796483408959537,1.02265090377602
"vm(ID, ginv)_Np1_503445",0.384841227518737,0.77635720410008,0.495701238407168
"vm(ID, ginv)_Np1_501573",0.650407245150936,0.75212984155017,0.864753941700305
"vm(ID, ginv)_Np1_501538",0.98833183588512,0.728077732467456,1.35745373304532
"vm(ID, ginv)_Np1_503722",0.218109516556745,0.741058555352473,0.294321568763219
"vm(ID, ginv)_Np1_501123",-0.093004121789599,0.776031713639336,-0.119845774541146
"vm(ID, ginv)_Np1_504188",0.417080201075155,0.735700382574533,0.56691584095092
"vm(ID, ginv)_Np1_501774",0.847042738212605,0.783261287432122,1.08143061811415
"vm(ID, ginv)_Np1_502827",-0.0328383047382528,0.738362797661371,-0.0444744844164171
"vm(ID, ginv)_Np1_501649",0.597780023493797,0.783287853486877,0.763167743292232
"vm(ID, ginv)_Np1_503222",0.494837388716382,0.765572155968526,0.646362834461191
"vm(ID, ginv)_Np1_502993",0.288303367923848,0.765499136902565,0.37662141474177
"vm(ID, ginv)_Np1_501184",0.732723810218526,0.773525883709408,0.947251831709603
"vm(ID, ginv)_Np1_503172",0.387053811828266,0.773740160211017,0.500237459204273
"vm(ID, ginv)_Np1_500157",0.686674328427577,0.79235957370677,0.866619589405878
"vm(ID, ginv)_Np1_503363",1.65262175537404,0.794265133790002,2.0806928128498
"vm(ID, ginv)_Np1_502846",0.0806237185080817,0.759890867681536,0.106099075455491
"vm(ID, ginv)_Np1_503258",0.435266813500953,0.729339692389483,0.59679572912715
"vm(ID, ginv)_Np1_504548",0.182667902194485,0.792737132244952,0.230426827209655
"vm(ID, ginv)_Np1_503102",0.303396761632488,0.753618272671893,0.4025867904673
"vm(ID, ginv)_Np1_503106",0.468651241900642,0.744959791021599,0.629096023099392
"vm(ID, ginv)_Np1_503223",0.253676062542592,0.762050711307825,0.332886064901423
"vm(ID, ginv)_No_519501",0.68824285011885,0.826600396329945,0.832618582297571
"vm(ID, ginv)_No_519502",0.926896725531057,0.808852643690536,1.14594015703766
"vm(ID, ginv)_No_519503",0.543091722737024,0.80068463132944,0.678284185166994
"vm(ID, ginv)_No_519504",0.402979956645742,0.807469274546384,0.499065375425122
"vm(ID, ginv)_No_519505",0.290292120689438,0.822541963150568,0.352920742885308
"vm(ID, ginv)_No_519506",0.0300847906120277,0.765819165404312,0.039284457703725
